name*,version*,license*,vendor/community,end-of-support,dipendences,language 
requests               ,2.21.0,Apache 2.0,http://python-requests.org, , urllib3, chardet, idna, certifi,python
psycopg2               ,2.7.5, LGPL with exceptions or ZPL,http://initd.org/psycopg/, ,-,python
psycopg2.extras        ,2.7.5, LGPL with exceptions or ZPL,http://initd.org/psycopg/, ,-,python
xml.etree.ElementTree  ,Python 2.7.5 - Native Structured Markup Processing Tools - API version 1.3,The Python Software Foundation License (PSFL) is a BSD-style, permissive software license which is compatible with the GNU General Public License (GPL),https://docs.python.org/2.7/library/index.html, ,-,python
"sys"                  ,Python 2.7.5 - Native Python Runtime Services,The Python Software Foundation License (PSFL) is a BSD-style, permissive software license which is compatible with the GNU General Public License (GPL),https://docs.python.org/2.7/library/index.html, ,-,python
datetime               ,Python 2.7.5 - Native Data Type ,The Python Software Foundation License (PSFL) is a BSD-style, permissive software license which is compatible with the GNU General Public License (GPL),https://docs.python.org/2.7/library/index.html, ,-,python
"hashlib"              ,Python 2.7.5 - Native Cryptographic Service,The Python Software Foundation License (PSFL) is a BSD-style, permissive software license which is compatible with the GNU General Public License (GPL),https://docs.python.org/2.7/library/index.html, ,-,python
"os"                   ,Python 2.7.5 - Native Generic Operating System Service,The Python Software Foundation License (PSFL) is a BSD-style, permissive software license which is compatible with the GNU General Public License (GPL),https://docs.python.org/2.7/library/index.html, ,-,python
"contextlib"           ,Python 2.7.5 - Native Python Runtime Services,The Python Software Foundation License (PSFL) is a BSD-style, permissive software license which is compatible with the GNU General Public License (GPL),https://docs.python.org/2.7/library/index.html, ,-,python
"zipfile"              ,Python 2.7.5 - Native Data Compression and Archiving,The Python Software Foundation License (PSFL) is a BSD-style, permissive software license which is compatible with the GNU General Public License (GPL),https://docs.python.org/2.7/library/index.html, ,-,python
"shutil"               ,Python 2.7.5 - Native File and Directory Access,The Python Software Foundation License (PSFL) is a BSD-style, permissive software license which is compatible with the GNU General Public License (GPL),https://docs.python.org/2.7/library/index.html, ,-,python
"smtplib"              ,Python 2.7.5 - Native Internet Protocols and Support,The Python Software Foundation License (PSFL) is a BSD-style, permissive software license which is compatible with the GNU General Public License (GPL),https://docs.python.org/2.7/library/index.html, ,-,python
"email.mime.text"      ,Python 2.7.5 - Native Internet Data Handling,The Python Software Foundation License (PSFL) is a BSD-style, permissive software license which is compatible with the GNU General Public License (GPL),https://docs.python.org/2.7/library/index.html, ,-,python
subprocess             ,Python 2.7.5 - Native Interprocess Communication and Networking  ,The Python Software Foundation License (PSFL) is a BSD-style, permissive software license which is compatible with the GNU General Public License (GPL),https://docs.python.org/2.7/library/index.html, ,-,python
"pytz"                 ,2019.2,MIT License,http://pythonhosted.org/pytz, ,-,python
"numpy"                ,1.16.5,BSD License,https://www.numpy.org, ,-,python
"osgeo.gdal"           ,2.3.2,MIT License,https://gdal.org/, ,-,python
"osr"                  ,2.3.2,MIT License,https://gdal.org/, ,-,python
"ogr"                  ,2.3.2,MIT License,https://gdal.org/, ,-,python
